step,time,car_x,car_y,walker_x,walker_y,walker_vx,walker_vy,actual_vx,actual_vy,predicted_vx,predicted_vy,vx_error,vy_error,vx_error_abs,vy_error_abs
16,1.6,12.192000000000004,12,29.95736458414065,9.597461179420895,-0.09222838457409333,2.2781187241885954,-0.04205310414827474,1.2519251714083366,-0.037437387,1.7791315,-0.004615717337495169,-0.5272063603070565,0.004615717337495169,0.5272063603070565
17,1.7000000000000002,12.954000000000004,12,29.95315927372582,9.722653696561729,-0.04205310414827474,1.2519251714083366,0.06886744191221073,0.7340792563745606,-0.013929713,1.2994386,0.0827971544983156,-0.5653593393972289,0.0827971544983156,0.5653593393972289
18,1.8,13.716000000000005,12,29.96004601791704,9.796061622199185,0.06886744191221073,0.7340792563745606,0.04281658560794411,0.19973814872092277,0.023173733,1.1559108,0.019642852924881556,-0.9561727008503053,0.019642852924881556,0.9561727008503053
19,1.9000000000000001,14.478000000000005,12,29.964327676477836,9.816035437071276,0.04281658560794411,0.19973814872092277,-0.10799518139183094,0.797844907888269,0.023792066,0.6608218,-0.13178724707185796,0.137023112424707,0.13178724707185796,0.137023112424707
20,2.0,15.240000000000006,12,29.953528158338653,9.895819927860103,-0.10799518139183094,0.797844907888269,0.0396360276013234,1.2853196752716727,-0.03273478,1.1521184,0.07237080910500077,0.13320123082892366,0.07237080910500077,0.13320123082892366
21,2.1,16.002000000000006,12,29.957491761098787,10.02435189538727,0.0396360276013234,1.2853196752716727,0.0017785850343919815,1.2034162469187324,0.014559533,1.2892841,-0.012780948412635225,-0.08586786315054251,0.012780948412635225,0.08586786315054251
22,2.2,16.764000000000006,12,29.957669619602225,10.144693520079143,0.0017785850343919815,1.2034162469187324,-0.14539180407130345,0.9645775037733773,0.0042868867,1.2582278,-0.14967869072982296,-0.29365032139141767,0.14967869072982296,0.29365032139141767
23,2.3000000000000003,17.526000000000007,12,29.943130439195095,10.24115127045648,-0.14539180407130345,0.9645775037733773,-0.0916017853711816,1.7713367932769706,-0.04375301,1.2262635,-0.04784877608167851,0.5450732701751639,0.04784877608167851,0.5450732701751639
24,2.4000000000000004,18.288000000000007,12,29.933970260657976,10.418284949784178,-0.0916017853711816,1.7713367932769706,0.006587054451268198,0.6095877583808471,-0.02577663,1.4864569,0.032363684718769076,-0.8768691126518677,0.032363684718769076,0.8768691126518677
25,2.5,19.050000000000008,12,29.9346289661031,10.479243725622263,0.006587054451268198,0.6095877583808471,0.03642289306118229,0.9170400000725305,0.006536182,1.0417074,0.02988671104504803,-0.12466739643473268,0.02988671104504803,0.12466739643473268
